japanese,reading,english,type,category,importance,example_jp,example_en,romaji
あがります,あがります,go up,word,Places & Directions,1,エレベーターで 15かいに あがります。,Take the elevator to the 15th floor.,erebeetaa de 15kai ni agari masu
あかるい,あかるい,"bright, light [i-adj.]",word,Adjectives,1,このへやは あかるいです。,The room is bright.,konoheya wa akarui desu
あき,あき,"autumn, fall",word,Time & Dates,1,あきが すきです。,I like autumn.,aki ga suki desu
あきます,あきます,open,word,Things & Objects,1,ドアが あきます。,The door opens.,doa ga aki masu
あけます,あけます,open,word,Things & Objects,1,わたしは ドアをあけます。,I open the door.,watashi wa doawoake masu
あげます,あげます,give,word,Verbs,1,ははの たんじょうびに プレゼントを あげました。,I gave a present on my mother's birthday.,hahano tanjoubi ni purezento o agemashita
朝,あさ,morning,word,Time & Dates,100,あしたの 朝は 6じに おきます。,I will get up at 6 o'clock tomorrow morning.,ashitano asa ha 6ji ni oki masu
朝ごはん,あさごはん,breakfast,word,Food & Drink,1,もう 朝ごはんを たべましたか。,Have you eaten breakfast yet?,mou asagohan wo tabemashita ka
あさって,あさって,the day after tomorrow,word,Time & Dates,1,あさっては にほんごの テストです。,The day after tomorrow will be a Japanese test.,asatte wa nihongono tesuto desu
足,あし,"leg, foot",word,Body Parts,1,かのじょは足が ながいです。,She has long legs.,kanojo wa ashi ga nagai desu
あした,あした,tomorrow,word,Time & Dates,1,では、また あした。,See you tomorrow.,de wa mata ashita
あそこ,あそこ,over there,word,Places & Directions,100,あそこで バスに のります。,Get on the bus over there.,asoko de basu ni nori masu
あそびます,あそびます,play,word,Verbs,1,こどもは よく こうえんで あそびます。,Children often play in the park.,kodomo wa yoku kouen de asobi masu
あたたかい,あたたかい,warm [i-adj.],word,Adjectives,1,きょうは きのうより あたたかいです。,Today is warmer than yesterday.,kyou wa kinouyori atatakai desu
あたま,あたま,head,word,Body Parts,1,かれは とても あたまが いいです。,He is very smart.,kare wa tote mo atama ga ii desu
新しい,あたらしい,new [i-adj.],word,Adjectives,100,新しい コンピュータを かいました。,I bought a new computer.,atarashii konpuuta o kaimashita
あちら,あちら,over there 「あそこ」の more polite,word,Things & Objects,100,いりぐちは あちらです。,The entrance is over there.,iriguchi wa achira desu
あつい,あつい,thick [i-adj.],word,Adjectives,1,このほんは あついです。,This book is thick.,konohon wa atsui desu
後(で),あと(で),after,word,Time & Dates,1,あさごはんの 後で さんぽをします。,I will take a walk after breakfast.,asagohanno de sanpowoshi masu
あに,あに,(my) older brother,word,People & Family,1,あには イギリスに います。,My brother is in England.,ani wa igirisu ni i masu
あね,あね,(my) older sister,word,People & Family,1,あねは フランスに います。,My sister is in France.,ane wa furansu ni i masu
あの,あの,that ...,word,Places & Directions,100,あのひとは だれですか。,Who is that person?,anohito wa dare desu ka
アパート,アパート,apartment,word,Places & Directions,100,わたしは ふるいアパートにすんでいます。,I live in an old apartment.,watashi wa furuiapaatonisundei masu
あびます,あびます,take (a shower),word,Verbs,1,あさ シャワーを あびます。,Take a shower in the morning.,asa shawaa o abi masu
あぶない,あぶない,dangerous [i-adj.],word,Adjectives,1,ここは あぶないですよ。,It's dangerous here.,koko wa abunai desu yo
あまい,あまい,sweet [i-adj.],word,Adjectives,1,このケーキは とても あまいです。,This cake is very sweet.,konokeeki wa tote mo amai desu
あまり,あまり,not much ...,word,Greetings & Expressions,1,あまり ほんを よみません。,I don't read many books.,amari hon o yomimasen
