japanese,reading,english,type,category,importance,example_jp,example_en,romaji
かない,かない,(my) wife,word,People & Family,1,かないは いま うちに います。,My wife is at home now.,kanai wa ima uchi ni i masu
かばん,かばん,bag,word,Clothing,100,かばんの なかに PCが あります。,There is a PC in the bag.,kabanno naka ni PC ga ari masu
かびん,かびん,vase,word,Things & Objects,1,テーブルの うえに かびんが あります。,There is a vase on the table.,teeburuno ue ni kabin ga ari masu
かぶります,かぶります,put on,word,Verbs,1,ぼうしを かぶります。,Put on a hat.,boushi o kaburi masu
紙,かみ,paper,word,School & Work,100,紙を 1まい ください。,Please give me a piece of paper.,kami wo 1mai kudasai
カメラ,カメラ,camera,word,Things & Objects,100,あたらしい カメラを かいたいです。,I want to buy a new camera.,atarashii kamera o kaitai desu
火よう日,かようび,Tuesday,word,Time & Dates,1,きょうは 火よう日です。,Today is Tuesday.,kyou wa kayoubi desu
からい,からい,"hot, spicy [i-adj.]",word,Adjectives,1,からい たべものは だいじょうぶですか。,Is spicy food okay?,karai tabemono wa daijoubu desu ka
からだ,からだ,body,word,Body Parts,1,スポーツは からだに いいです。,Sports are good for you.,supootsu wa karada ni ii desu
かります,かります,borrow,word,Verbs,1,ともだちに かさを かりました。,I borrowed an umbrella from my friend.,tomodachi ni kasa o karimashita
かるい,かるい,"light, not heavy [i-adj.]",word,Adjectives,1,このバッグは かるいです。,This bag is light.,konobaggu wa karui desu
カレンダー,カレンダー,calendar,word,Things & Objects,100,これは きょねんの カレンダーです。,This is last year's calendar.,kore wa kyonenno karendaa desu
川,かわ,river,word,Nature & Animals,1,おおきい川が あります。,There is a big river.,ookii kawa ga ari masu
かわいい,かわいい,"pretty, sweet, cute [i-adj.]",word,Adjectives,1,こどもは かわいいです。,Children are cute.,kodomo wa kawaii desu
かんがえます,かんがえます,"consider, think",word,Verbs,1,いいアイデアを かんがえました。,I came up with a good idea.,iiaidea o kangaemashita
かんじ,かんじ,kanji,word,School & Work,1,かんじの べんきょうを しています。,I'm studying kanji.,kanjino benkyou o shitei masu
かんたん,かんたん,easy [na-adj.],word,Adjectives,1,このもんだいは かんたんです。,This question is easy.,konomondai wa kantan desu
木,き,tree,word,Nature & Animals,100,にわに おおきい 木が あります。,There is a big tree in the garden.,niwa ni ookii ki ga ari masu
きいろい,きいろい,yellow [i-adj.],word,Adjectives,1,きいろい マーカーで チェックします。,Check with the yellow marker.,kiiroi maakaa de chiekkushi masu
きえます,きえます,"go out, go off",word,Verbs,1,でんきが きえました。,The electricity has gone out.,denki ga kiemashita
聞きます,ききます,"ask, hear, listen",word,Verbs,1,イヤホンで おんがくを 聞きます。,Listen to music with earphones.,iyahon de ongaku o kiki masu
北,きた,north,word,Places & Directions,100,北は どちらですか。,Which direction is north?,kita ha dochira desu ka
ギター,ギター,guitar,word,Things & Objects,100,ギターの れんしゅうを しています。,I'm practicing the guitar.,gitaano renshuu o shitei masu
きたない,きたない,dirty [i-adj.],word,Adjectives,1,このビルの トイレは きたないです。,The toilet in this building is dirty.,konobiruno toire wa kitanai desu
きっさてん,きっさてん,coffee shop,word,Food & Drink,1,えきのまえに ふるい きっさてんが あります。,There is an old coffee shop in front of the station.,ekinomae ni furui kissaten ga ari masu
きって,きって,stamp,word,Things & Objects,1,ゆうびんきょくで きってを かいました。,I bought a stamp at the post office.,yuubinkyoku de kitte o kaimashita
きっぷ,きっぷ,ticket,word,Things & Objects,1,これは しんかんせんの きっぷです。,This is a Shinkansen ticket.,kore wa shinkansenno kippu desu
きのう,きのう,yesterday,word,Time & Dates,1,きのう たくさん にほんごの べんきょうをしました。,I studied a lot of Japanese yesterday.,kinou takusan nihongono benkyouwoshimashita
きます,きます,"put on, wear",word,Clothing,1,さむいですから、セーターをきます。,"It's cold, so I'll wear a sweater.",samui desu kara seetaawoki masu
九,きゅう,nine,word,Numbers & Counters,100,ほんを 九さつ かりました。,I borrowed nine books.,hon o kyuu satsu karimashita
ぎゅうにく,ぎゅうにく,beef,word,Food & Drink,1,にほんで ぎゅうにくは たかいです。,Beef is expensive in Japan.,nihon de gyuuniku wa takai desu
ぎゅうにゅう,ぎゅうにゅう,milk,word,Food & Drink,1,まいあさ ぎゅうにゅうを のみます。,I drink milk every morning.,maiasa gyuunyuu o nomi masu
今日,きょう,today,word,Time & Dates,100,今日は いい てんきですね。,"It's nice weather today, isn't it?",kyou ha ii tenki desu ne
きょうしつ,きょうしつ,classroom,word,Places & Directions,1,せんせいは きょうしつに います。,The teacher is in the classroom.,sensei wa kyoushitsu ni i masu
きょうだい,きょうだい,brothers and sisters; siblings,word,People & Family,1,きょうだいが いますか。,Do you have any siblings?,kyoudai ga i masu ka
きょうと,きょうと,Kyoto [name of city],word,Places & Directions,1,おととし きょうとに いきました。,I went to Kyoto two years ago.,ototoshi kyouto ni ikimashita
きょねん,きょねん,last year,word,Time & Dates,1,きょねん にほんごの べんきょうをはじめました。,"Last year, I started studying Japanese.",kyonen nihongono benkyouwohajimemashita
きらい,きらい,"hateful, unpleasant, not likable [na-adj.]",word,Adjectives,1,なっとうが きらいです。,I hate natto.,nattou ga kirai desu
きります,きります,cut,word,Verbs,1,やさいを きります。,Cut the vegetables.,yasai o kiri masu
きれい,きれい,"beautiful, clean [na-adj.]",word,Adjectives,1,このへやは きれいです。,This room is clean.,konoheya wa kirei desu
金,きん,Friday = きんようび。,word,Time & Dates,1,2がつ26にち（金,）  February 26th (Friday),2gatsu26nichi（ kin
銀行,ぎんこう,bank,word,Places & Directions,100,あとで 銀行に いきます。,I will go to the bank later.,ato de ginkou ni iki masu
金よう日,きんようび,Friday,word,Time & Dates,1,金よう日に あいましょう。,Let's meet on Friday.,kinyoubi ni ai mashou
九,く,nine,word,Numbers & Counters,1,いま 九じです。,It's nine o'clock now.,ima ku ji desu
くすり,くすり,medicine,word,Other,1,しょくじの あとで くすりを のみます。,Take medicine after meals.,shokujino ato de kusuri o nomi masu
くだもの,くだもの,fruit,word,Food & Drink,1,よく くだものを たべます。,I often eat fruits.,yoku kudamono o tabe masu
口,くち,mouth,word,School & Work,100,かれは 口が おおきいです。,He has a big mouth.,kare wa kuchi ga ookii desu
くつ,くつ,shoes,word,Clothing,1,くつの サイズは いくつですか。,What is the size of your shoes?,kutsuno saizu wa ikutsu desu ka
くつ下,くつした,socks,word,Clothing,1,しろい くつ下を かいました。,I bought white socks.,shiroi kutsushita wo kaimashita
国,くに,country,word,Places & Directions,100,あした 国に かえります。,"Tomorrow, I will return to my country.",ashita ku ni ni kaeri masu
くもり,くもり,cloudy weather,word,Food & Drink,1,きょうは くもりです。,It's cloudy today.,kyou wa kumori desu
くらい,くらい,dark [i-adj.],word,Adjectives,1,このへやは くらいです。,This room is dark.,konoheya wa kurai desu
クラス,クラス,class,word,School & Work,100,しゅうまつは ヨガの クラスに いきます。,I go to yoga classes on weekends.,shuumatsu wa yogano kurasu ni iki masu
車,くるま,car,word,Things & Objects,100,きょうは 車が おおいですね。,There are many cars today.,kyou wa kuruma ga ooi desu ne
くろ,くろ,black [noun],word,Greetings & Expressions,1,くろで かきます。,Write in black.,kuro de kaki masu
くろい,くろい,black [i-adj.],word,Adjectives,1,くろい バッグが 3つ あります。,There are three black bags.,kuroi baggu ga 3tsu ari masu
くろく,くろく,black [adv.],word,Other,1,くろく なりました。,It turned black.,kuroku narimashita
ケーキ,ケーキ,cake,word,Food & Drink,1,このケーキを 4つ ください。,Please give me four of these cakes.,konokeeki o 4tsu kudasai
今朝,けさ,this morning,word,Time & Dates,100,今朝は ６じに おきました。,I got up at 6 o'clock this morning.,kesa ha ６ji ni okimashita
けしゴム,けしゴム,eraser,word,School & Work,1,けしゴムを かしてください。,Please lend me an eraser.,keshigomu o kashitekudasai
けします,けします,"switch off, turn off, erase",word,Verbs,1,でんきを けします。,Turn off the light.,denki o keshi masu
月,げつ,Monday = げつようび。,word,Time & Dates,1,4がつ22にち（月,）  April 22nd (Monday),4gatsu22nichi（ getsu
けっこんします,けっこんします,get married,word,Verbs,1,2がつ15にちに けっこんしました。,I got married on February 15th.,2gatsu15nichi ni kekkonshimashita
月よう日,げつようび,Monday,word,Time & Dates,1,月よう日は いつも いそがしいです。,I'm always busy on Mondays.,getsuyoubi ha itsu mo isogashii desu
げんかん,げんかん,"front door, front entrance",word,Things & Objects,1,げんかんで くつを ぬぎます。,Take off your shoes at the entrance.,genkan de kutsu o nugi masu
げんき,げんき,fine [na-adj.],word,Adjectives,1,おげんきですか。,How are you?,ogenki desu ka
こうえん,こうえん,park,word,Places & Directions,1,うちの ちかくに こうえんが あります。,There is a park near my house.,uchino chikaku ni kouen ga ari masu
こうばん,こうばん,police box,word,Things & Objects,1,えきの まえに こうばんが あります。,There is a police box in front of the station.,ekino mae ni kouban ga ari masu
こえ,こえ,voice,word,Body Parts,1,いい こえですね。,You have a good voice.,ii koe desu ne
コート,コート,coat,word,Clothing,100,さむいから、コートをきます。,"It's cold, so I'll wear a coat.",samuikara kootowoki masu
コーヒー,コーヒー,coffee,word,Food & Drink,100,コーヒーを 2はい のみました。,I drank two cups of coffee.,koohii o 2hai nomimashita
ここ,ここ,here,word,Places & Directions,100,ここは あついです。,It's hot here.,koko wa atsui desu
午後,ごご,"afternoon, p.m.",word,Time & Dates,100,あしたの 午後は うちに います。,I'll be at home tomorrow afternoon.,ashitano gogo ha uchi ni i masu
九日,ここのか,"ninth day of the month, nine days",word,Time & Dates,100,きょうは 九日です。,Today is the 9th.,kyou wa kokono ka desu
九つ,ここのつ,nine,word,Numbers & Counters,100,ふくろの なかに りんごが 九つ あります。,There are nine apples in the bag.,fukurono naka ni ringo ga kokonotsu ari masu
ごしゅじん,ごしゅじん,(someone's) husband,word,People & Family,1,ごしゅじんは いま どこに いますか。,Where is your husband now?,goshujin wa ima doko ni i masu ka
午前,ごぜん,a.m.,word,Time & Dates,100,いま 午前 11じです。,It's 11am now.,ima gozen 11ji desu
こたえ,こたえ,answer,word,School & Work,1,ここに こたえを かいてください。,Please write your answer here.,koko ni kotae o kaitekudasai
こたえかた,こたえかた,how to answer,word,School & Work,1,こたえかたが わかりません。,I don't know how to answer.,kotaekata ga wakarimasen
こたえます,こたえます,answer,word,Verbs,1,もんだいに こたえてください。,Please answer the question.,mondai ni kotaetekudasai
こちら,こちら,"this side, this place, this one",word,People & Family,100,こちらは どなたですか。,Who is this?,kochira wa donata desu ka
コップ,コップ,"glass, drinking cup",word,Things & Objects,100,テーブルの うえに コップが たくさん あります。,There are many cups on the table.,teeburuno ue ni koppu ga takusan ari masu
今年,ことし,this year,word,Time & Dates,100,今年は くにに かえりません。,I will not return to the country this year.,kotoshi ha kuni ni kaerimasen
ことば,ことば,"word, language, phrase",word,School & Work,1,たくさん ことばを おぼえました。,I learned a lot of words.,takusan kotoba o oboemashita
子ども,こども,child,word,People & Family,1,わたしは 子どもが 3にん います。,I have 3 children.,watashi wa kodo mo ga 3nin i masu
この,この,this ...,word,Things & Objects,100,このカメラは とても かるいです。,This camera is very light.,konokamera wa tote mo karui desu
ごはん,ごはん,"rice, meal",word,Food & Drink,1,あさ 8じに ごはんを たべました。,I ate at 8 am.,asa 8ji ni gohan o tabemashita
コピー,コピー,copy,word,Things & Objects,1,コピーをもらってもいいですか。,May I get a copy?,kopiiwomorattemoii desu ka
コピーします,コピーします,make a copy,word,Verbs,1,5ページから10ページまで コピーしてください。,Please copy pages 5 to 10.,5peejikara10peejima de kopiishitekudasai
こまります,こまります,be in trouble,word,Verbs,1,スマホを わすれましたから、こまりました。,I was in trouble because I forgot my smartphone.,sumaho o wasuremashitakara komarimashita
これ,これ,this (one),word,Things & Objects,100,これを ２つと、それを ３つ ください。,Please give me two of these and three of them.,kore o ２tsu to sore o ３tsu kudasai
今月,こんげつ,this month,word,Time & Dates,100,今月は とても いそがしいです。,This month is very busy.,kongetsu ha tote mo isogashii desu
今週,こんしゅう,this week,word,Time & Dates,100,今週は あまり いそがしくないです。,I'm not very busy this week.,konshuu ha amari isogashikunai desu
こんな,こんな,"this sort of, like this [na-adj.]",word,Things & Objects,100,こんな りょうりが すきです。,I like this kind of food.,konna ryouri ga suki desu
こんばん,こんばん,tonight,word,Time & Dates,1,こんばん 9じに うちに かえります。,I'll be back home tonight at 9 o'clock.,konban 9ji ni uchi ni kaeri masu
さいご,さいご,"end, last time",word,Time & Dates,1,レッスンの さいごに しゅくだいを あげます。,I will give you homework at the end of the lesson.,ressunno saigo ni shukudai o age masu
魚,さかな,fish,word,Food & Drink,100,にくより 魚のりょうりが すきです。,I like fish dishes better than meat.,nikuyori sakana noryouri ga suki desu
先,さき,"former, earlier",word,Things & Objects,100,お先に どうぞ。,After you.,o saki ni douzo
さきます,さきます,bloom,word,Verbs,1,はるには いろいろなはながさきます。,Various flowers bloom in spring.,haruni wa iroironahanagasaki masu
さくぶん,さくぶん,composition,word,School & Work,1,さくぶんは いい れんしゅうです。,Writing is a good practice.,sakubun wa ii renshuu desu
さします,さします,put up (umbrella),word,Places & Directions,1,あめでしたが、かさをさしませんでした。,"It was raining, but I didn't hold my umbrella.",ame deshita ga kasawosashimasen deshita
サッカー,サッカー,"soccer, football",word,Leisure & Sports,1,あしたは サッカーの しあいが あります。,Tomorrow there is a soccer game.,ashita wa sakkaano shiai ga ari masu
ざっし,ざっし,magazine,word,Things & Objects,1,このざっしの しゃしんは きれいです。,The photos in this magazine are beautiful.,konozasshino shashin wa kirei desu
さとう,さとう,sugar,word,Food & Drink,1,コーヒーに さとうを いれますか。,Would you like to add sugar to your coffee?,koohii ni satou o ire masu ka
さむい,さむい,cold (weather) [i-adj.],word,Adjectives,1,きょうは きのうより さむいです。,It's colder today than yesterday.,kyou wa kinouyori samui desu
さらいねん,さらいねん,the year after next,word,Time & Dates,1,たぶん さらいねん にほに いきます。,Maybe I will go to Japan the year after next.,tabun sarainen niho ni iki masu
さんぽ,さんぽ,walk,word,Other,1,ちちと ははは さんぽが すきです。,My father and mother like walking.,chichi to haha wa sanpo ga suki desu
さんぽ(を)します,さんぽ(を)します,take a walk,word,Verbs,1,けさ ははと さんぽをしました。,I took a walk with my mother this morning.,kesa haha to sanpowoshimashita
四,し,four = よん。,word,Numbers & Counters,100,いち、に、さん、四、ご,"…  one, two, three, four, five ...",ichi ni san shi go
しお,しお,salt,word,Other,1,しおを すこし いれてください。,Please add a little salt.,shio o sukoshi iretekudasai
しかし,しかし,"but, however (formal, written language)",word,Things & Objects,100,べんきょうしました。しかし、わすれました。,I studied. But I forgot.,benkyoushimashita shikashi wasuremashita
しごと,しごと,work,word,School & Work,1,どんな しごとを していますか。,What kind of work do you do?,donna shigoto o shitei masu ka
じしょ,じしょ,dictionary,word,School & Work,1,じしょで しらべました。,I looked it up in the dictionary.,jisho de shirabemashita
しずか,しずか,quiet [na-adj.],word,Adjectives,1,このカフェは しずかです。,This cafe is quiet.,konokafue wa shizuka desu
下,した,"under, below",word,Things & Objects,100,テーブルの 下に コンセントが あります。,There is an outlet under the table.,teeburuno shita ni konsento ga ari masu
しつもん,しつもん,question,word,School & Work,1,しつもんが あります。,I have a question.,shitsumon ga ari masu
じてんしゃ,じてんしゃ,bicycle,word,Other,1,じてんしゃで がっこうに いきます。,I go to school by bicycle.,jitensha de gakkou ni iki masu
じどうしゃ,じどうしゃ,car,word,Other,1,じどうしゃが 5だい あります。,There are 5 cars.,jidousha ga 5dai ari masu
しにます,しにます,die,word,Verbs,1,ペットが しにました。,The pet has died.,petto ga shinimashita
じぶん,じぶん,oneself,word,Other,1,じぶんで つくりました。,I made it myself.,jibun de tsukurimashita
します,します,do,word,Verbs,1,あしたは なにを しますか。,What are you going to do tomorrow?,ashita wa nani o shi masu ka
しまります,しまります,close (intransitive verb),word,Verbs,1,ドアが しまります。,The door closes.,doa ga shimari masu
しめます,しめます,close (transitive verb),word,Verbs,1,わたしは ドアを しめます。,I close the door.,watashi wa doa o shime masu
しゃしん,しゃしん,"photograph, photo, picture",word,Leisure & Sports,1,いっしょに しゃしんを とりましょう。,Let's take a picture together.,issho ni shashin o tori mashou
シャツ,シャツ,shirt,word,Clothing,100,しろい シャツを かいました。,I bought a white shirt.,shiroi shatsu o kaimashita
シャワー,シャワー,shower,word,Things & Objects,100,まいあさ シャワーを あびます。,I take a shower every morning.,maiasa shawaa o abi masu
週,しゅう,week,word,Time & Dates,1,この週とこの週はとうきょうに います。,This week and this week I'm in Tokyo.,kono shuu tokono shuu hatoukyou ni i masu
十,じゅう,ten,word,Numbers & Counters,100,おとこの ひとが 十にん います。,There are ten men.,otokono hito ga juu nin i masu
ジュース,ジュース,juice,word,Other,1,オレンジジュースをください。,Please give me orange juice.,orenjijuusuwokudasai
じゅぎょう,じゅぎょう,"class, lesson",word,School & Work,1,きょうは にほんごの じゅぎょうが あります。,I have a Japanese class today.,kyou wa nihongono jugyou ga ari masu
しゅくだい,しゅくだい,homework,word,Places & Directions,1,しゅくだいが たくさん あります。,I have a lot of homework.,shukudai ga takusan ari masu
上手,じょうず,"good, skillful [na-adj.]",word,Things & Objects,100,かのじょは にほんごが じょうずです。,She is good at Japanese.,kanojo wa nihongo ga jouzu desu
上手に,じょうずに,well [adv.],word,Body Parts,1,とても 上手に できましたね。,You did it very well.,tote mo jouzu ni dekimashitane
じょうぶ,じょうぶ,"healthy, strong, firm, durable [na-adj.]",word,Adjectives,1,このスーツケースはじょうぶです。,This suitcase is durable.,konosuutsukeesuhajoubu desu
しょうゆ,しょうゆ,soy sauce,word,Other,1,しょうゆを すこし いれます。,Add a little soy sauce.,shouyu o sukoshi ire masu
しょくどう,しょくどう,dining room,word,Places & Directions,1,10かいに しょくどうが あります。,There is a dining room on the 10th floor.,10kai ni shokudou ga ari masu
知ります,しります,,word,Verbs,1,,,
白い,しろい,white [i-adj.],word,Colors,100,白い はなを かいました。,I bought a white flower.,shiroi hana o kaimashita
新聞,しんぶん,newspaper,word,School & Work,100,うちで 新聞を よみます。,I read the newspaper at home.,uchi de shinbun wo yomi masu
水,すい,Wednesday = すいようび。,word,Time & Dates,1,げつと水は やすみです。,Monday and Wednesday are closed.,getsu to sui ha yasumi desu
すいます,すいます,"breath in, smoke",word,Food & Drink,1,たばこを すいますか。,Do you smoke?,tabako o sui masu ka
水よう日,すいようび,Wednesday,word,Time & Dates,1,水よう日は うちで しごとを します。,I work at home on Wednesday.,suiyoubi ha uchi de shigoto o shi masu
スカート,スカート,skirt,word,Clothing,100,ときどき スカートを はきます。,I wear a skirt sometimes.,tokidoki sukaato o haki masu
すき,すき,like [na-adj.],word,Adjectives,1,わたしは べんきょうが すきです。,I like studying.,watashi wa benkyou ga suki desu
少ない,すくない,few,word,Adjectives,100,きょうは しゅくだいが すくないです。,I have less homework today.,kyou wa shukudai ga sukunai desu
すぐに,すぐに,"soon, right away",word,Things & Objects,100,すぐに おわります。,It will end soon.,sugu ni owari masu
少し,すこし,a little,word,Things & Objects,100,少し じかんを ください。,Please give me some time.,sukoshi jikan o kudasai
すし,すし,sushi,word,Other,1,きのう すしを たべました。,I ate sushi yesterday.,kinou sushi o tabemashita
すしや,すしや,sushi restaurant,word,Food & Drink,1,きのうは すしやに いきました。,Yesterday I went to a sushi restaurant.,kinou wa sushiya ni ikimashita
すずしい,すずしい,cool (weather) [i-adj.],word,Adjectives,1,きょうは きのうより すずしいです。,Today is cooler than yesterday.,kyou wa kinouyori suzushii desu
ストーブ,ストーブ,"stove, heater",word,Things & Objects,100,これは ふるい ストーブです。,This is an old stove.,kore wa furui sutoobu desu
スプーン,スプーン,spoon,word,Things & Objects,100,スプーンで カレーを たべます。,Eat curry with a spoon.,supuun de karee o tabe masu
スポーツ,スポーツ,sports,word,Things & Objects,100,なにか スポーツを していますか。,Do you play any sports?,nani ka supootsu o shitei masu ka
ズボン,ズボン,"trousers, pants",word,Things & Objects,100,ズボンを はきます。,I wear pants.,zubon o haki masu
住みます,すみます,"live, inhabit",word,Verbs,1,めぐろに 住んでいます。,I live in Meguro.,meguro ni ndei masu
スリッパ,スリッパ,slippers,word,Other,1,ここで スリッパを はきます。,I will put on my slippers here.,koko de surippa o haki masu
すわります,すわります,sit down,word,Places & Directions,1,どうぞ ここに すわって ください。,Please have a seat here.,douzo koko ni suwatte kudasai
せ,せ,height,word,Other,1,あのひとは とても せが たかいです。,That person is very tall.,anohito wa tote mo se ga takai desu
せいと,せいと,student,word,School & Work,1,わたしは MLCの せいとです。,I am a MLC student.,watashi wa MLCno seito desu
セーター,セーター,sweater,word,Things & Objects,100,このセーターは とても あたたかいです。,This sweater is very warm.,konoseetaa wa tote mo atatakai desu
せっけん,せっけん,soap,word,Things & Objects,1,せっけんで よく てを あらいましょう。,Wash your hands thoroughly with soap.,sekken de yoku te o arai mashou
せびろ,せびろ,"jacket, suit",word,Clothing,1,あのひとは いつも せびろを きています。,That person is always in a suit.,anohito wa itsu mo sebiro o kitei masu
せまい,せまい,"narrow, not spacious [i-adj.]",word,Adjectives,1,わたしの へやは せまいです。,My room is small.,watashino heya wa semai desu
ゼロ,ゼロ,zero,word,Things & Objects,100,これは カロリーゼロです。,This is zero calories.,kore wa karoriizero desu
千,せん,thousand,word,Numbers & Counters,100,これは 千えんです。,This is a thousand yen.,kore wa sen en desu
先月,せんげつ,last month,word,Time & Dates,100,先月 ハワイに いきました。,I went to Hawaii last month.,sengetsu hawai ni ikimashita
先週,せんしゅう,last week,word,Time & Dates,100,先週の きんようびに びょういんに いきました。,I went to the hospital last Friday.,senshuu no kinyoubi ni byouin ni ikimashita
せんたく,せんたく,"washing, laundry",word,Other,1,まいにち せんたくを します。,I will do the laundry every day.,mainichi sentaku o shi masu
ぜんぶ,ぜんぶ,all,word,Other,1,しゅくだいは ぜんぶ おわりました。,I've done all my homework.,shukudai wa zenbu owarimashita
そうじ,そうじ,cleaning,word,Other,1,わたしは そうじが すきです。,I like cleaning.,watashi wa souji ga suki desu
そうじします,そうじします,clean,word,Verbs,1,これから このへやを そうじします。,I'm going to clean this room.,korekara konoheya o soujishi masu
そこ,そこ,there,word,Places & Directions,100,かぎは そこに あります。,The key is there.,kagi wa soko ni ari masu
そして,そして,"and, then",word,Time & Dates,1,ともだちに あいました。そして、すしやにいきました。,I met my friend. Then I went to a sushi restaurant.,tomodachi ni aimashita soshite sushiyaniikimashita
そちら,そちら,"there, your place",word,Places & Directions,100,あした そちらに いきます。,I will go there tomorrow.,ashita sochira ni iki masu
外,そと,outside,word,Places & Directions,100,外は すごい あめです。,It's raining a lot outside.,so to ha sugoi ame desu
その,その,that ...,word,Things & Objects,100,そのひとは とても しんせつでした。,The person was very kind.,sonohito wa tote mo shinsetsu deshita
そば,そば,nearby,word,Places & Directions,100,オフィスの そばの みせで かいました。,I bought it at a store near my office.,ofuisuno sobano mise de kaimashita
空,そら,sky,word,Nature & Animals,100,きょうは 空が とても きれいですね。,The sky is very beautiful today.,kyou wa sora ga tote mo kirei desu ne
それ,それ,that (one),word,Things & Objects,100,それは なんですか。,What is it?,sore wa nan desu ka
それから,それから,"and then, after that",word,Time & Dates,100,これをください。それから、これもください。,"This one, please. Also, this one, please.",korewokudasai sorekara koremokudasai
それでは,それでは,"then, well",word,Things & Objects,100,それでは つぎの ページに いきましょう。,Now let's go to the next page.,sorede wa tsugino peeji ni iki mashou
大学,だいがく,university,word,School & Work,100,大学で にほんごを べんきょうしました。,I studied Japanese at university.,daigaku de nihongo o benkyoushimashita
たいしかん,たいしかん,embassy,word,Other,1,これから たいしかんに いきます。,I will go to the embassy from now on.,korekara taishikan ni iki masu
だいじょうぶ,だいじょうぶ,"okay, no problem [na-adj.]",word,Adjectives,1,だいじょうぶですか。,Are you okay?,daijoubu desu ka
だいすき,だいすき,"be very fond of, like very much [na-adj.]",word,Adjectives,1,チーズケーキが だいすきです。,I love cheesecake.,chiizukeeki ga daisuki desu
たいせつ,たいせつ,important [na-adj.],word,Adjectives,1,これは とても たいせつです。,This is very important.,kore wa tote mo taisetsu desu
だいたい,だいたい,almost,word,Other,1,だいたい おなじ いみです。,It has almost the same meaning.,daitai onaji imi desu
たいてい,たいてい,"mostly, usually",word,Other,1,あさごはんは たいてい パンと コーヒーです。,Breakfast is usually bread and coffee.,asagohan wa taitei pan to koohii desu
だいどころ,だいどころ,kitchen,word,Other,1,かないと むすめは だいどころに います。,My wife and daughter are in the kitchen.,kanai to musume wa daidokoro ni i masu
たいへん,たいへん,"serious, hard, difficult [na-adj.]",word,Adjectives,1,かんじの べんきょうは たいへんです。,Studying kanji is hard.,kanjino benkyou wa taihen desu
高い,たかい,"tall, high [i-adj.]",word,Adjectives,100,あのビルは とても 高いです。,That building is very tall.,anobiru wa tote mo takai desu
だから,だから,"so, therefore",word,Other,1,あしたは あめです。だから、うちにいます。,It will rain tomorrow. So I will stay home.,ashita wa ame desu dakara uchinii masu
たくさん,たくさん,"many, much",word,Other,1,きょうは たくさん しゅくだいが あります。,I have a lot of homework today.,kyou wa takusan shukudai ga ari masu
タクシー,タクシー,taxi,word,Things & Objects,100,タクシーで 行きましょう。,Let's go by taxi.,takushii de ki mashou
出します,だします,take out,word,Verbs,1,バッグの なかから スマホを 出します。,Take your smartphone out of the bag.,bagguno nakakara sumaho o dashi masu
ただしい,ただしい,correct [i-adj.],word,Adjectives,1,ただしいぶんは どれですか。,Which is the correct sentence?,tadashiibun wa dore desu ka
立ちます,たちます,stand up,word,Places & Directions,1,ここに 立ってください。,Please stand here.,koko ni ttekudasai
たてもの,たてもの,building,word,Places & Directions,1,たかい たてものが たくさん あります。,There are many tall buildings.,takai tatemono ga takusan ari masu
たのしい,たのしい,"enjoyable, pleasant [i-adj.]",word,Adjectives,1,きのうの パーティーは とても たのしかったです。,Yesterday's party was a lot of fun.,kinouno paateii wa tote mo tanoshikatta desu
たのみます,たのみます,"ask, request",word,Verbs,1,たなかさんに このしごとを たのみます。,I will ask Mr. Tanaka for this job.,tanakasan ni konoshigoto o tanomi masu
たばこ,たばこ,"cigarette, tobacco",word,Things & Objects,100,わたしは たばこを すいません。,I don't smoke.,watashi wa tabako o suimasen
たぶん,たぶん,"probably, perhaps",word,Other,1,たぶん あしたは じかんが あります。,Maybe I have time tomorrow.,tabun ashita wa jikan ga ari masu
食べもの,たべもの,food,word,Food & Drink,1,コンビニで 食べものとのみものをかいました。,I bought food and drinks at a convenience store.,konbini de tabemono tonomimonowokaimashita
食べます,たべます,eat,word,Food & Drink,1,よく おすしを 食べます。,I often eat sushi.,yoku osushi o tabe masu
たまご,たまご,egg,word,Food & Drink,1,たまごを 10こ かいました。,I bought 10 eggs.,tamago o 10ko kaimashita
だれ,だれ,who,word,Other,1,あのひとは だれですか。,Who is that person.,anohito wa dare desu ka
たんじょうび,たんじょうび,birthday,word,Time & Dates,1,たんじょうびは いつですか。,When is your birthday.,tanjoubi wa itsu desu ka
だんだん,だんだん,"gradually, little by little",word,Other,1,だんだん あたたかくなりました。,It's getting warmer and warmer.,dandan atatakakunarimashita
小さい,ちいさい,small,word,Adjectives,100,小さい さかなが います。,There is a small fish.,chiisai sakana ga i masu
小さな,ちいさな+[noun],small 小さな+[noun],word,Greetings & Expressions,1,小さな さかなが います。,There is a small fish.,chiisana+[noun] sakana ga i masu
近い,ちかい,"near, close [i-adj.]",word,Adjectives,100,わたしの うちは えきから 近いです。,My house is close to the station.,watashino uchi wa ekikara chikai desu
ちがいます,ちがいます,"be different, differ",word,Verbs,1,N5とN4は レベルが ちがいます。,N5 and N4 have different levels.,N5toN4 wa reberu ga chigai masu
近く,ちかく,neighborhood [noun],word,Things & Objects,100,近くの レストランで ばんごはんを たべました。,I had dinner at a nearby restaurant,chikaku no resutoran de bangohan o tabemashita
ちかてつ,ちかてつ,subway,word,Other,1,ちかてつは とても べんりです。,The subway is very convenient.,chikatetsu wa tote mo benri desu
